"List of plants for all fuels, United States, all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vvvvu&geo=vvvvvvvvvvvvo&sec=g&freq=M&start=200101&end=202505&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Jul 30 2025 19:20:26 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"(3K) 59 Hetcheltown Rd",66729,"NY","Electric utility non-cogen","PV","SUN"
"0 Hammond St CSG",64876,"MA","Electric utility non-cogen","PV","SUN"
"1 Commercial",67464,"MA","Electric utility non-cogen","PV","SUN"
"10 Briggs Solar NG, LLC (East)",62781,"RI","Electric utility non-cogen","PV","SUN"
"10 Finderne Avenue Solar, LLC",64023,"NJ","Electric utility non-cogen","PV","SUN"
"100 Brook Hill Drive Solar",63292,"NY","Commercial non-cogen","PV","SUN"
"100 Lower",65620,"NY","Electric utility non-cogen","PV","SUN"
"1001 Ebenezer Church Solar",63444,"NC","Electric utility non-cogen","PV","SUN"
"1008 Matthews Solar",63447,"NC","Electric utility non-cogen","PV","SUN"
"1009 Yadkin Solar",63445,"NC","Electric utility non-cogen","PV","SUN"
"101 Carnegie Center Solar, LLC",64025,"NJ","Electric utility non-cogen","PV","SUN"
"1025 Traveller Solar, LLC",62660,"NC","Electric utility non-cogen","PV","SUN"
"1034 Catherine Lake Solar, LLC",64478,"NC","Electric utility non-cogen","PV","SUN"
"1045 Tomlin Mill Solar",63448,"NC","Electric utility non-cogen","PV","SUN"
"1047 Little Mountain Solar, LLC",62661,"NC","Electric utility non-cogen","PV","SUN"
"1051 Lucky Solar, LLC",64271,"NC","Electric utility non-cogen","PV","SUN"
"1073 Onslow Solar",63446,"NC","Electric utility non-cogen","PV","SUN"
"115 G Fisher",65092,"MA","Electric utility non-cogen","PV","SUN"
"118 Echo",68390,"MA","Electric utility non-cogen","PV","SUN"
"12 Applegate Solar LLC",59371,"NJ","Electric utility non-cogen","PV","SUN"
"126 Grove Solar LLC",60858,"MA","Electric utility non-cogen","PV","SUN"
"13 Mile Solar, LLC",64456,"MI","Electric utility non-cogen","PV","SUN"
"145 Talmadge Solar",57458,"NJ","Electric utility non-cogen","PV","SUN"
"15 Glen Harris RD",67032,"ME","Electric utility non-cogen","PV","SUN"
"154 D Fisher",65093,"MA","Electric utility non-cogen","PV","SUN"
"158th Fighter Wing Solar Farm",60542,"VT","Electric utility non-cogen","PV","SUN"
"160 Tihonet Rd Hybrid(CSG)",65056,"MA","Electric utility non-cogen","PV","SUN"
"1634 Solar",61935,"SC","Electric utility non-cogen","PV","SUN"
"1639 RT 29 Solar 1",65785,"NY","Electric utility non-cogen","PV","SUN"
"1639 RT 29 Solar 2",65786,"NY","Electric utility non-cogen","PV","SUN"
"180 Raritan Solar",58187,"NJ","Electric utility non-cogen","PV","SUN"
"196 Tremont St(CSG)",65114,"MA","Electric utility non-cogen","PV","SUN"
"201 Sturbridge B",59822,"MA","Electric utility non-cogen","PV","SUN"
"20333 Normandie PV, LLC",65331,"CA","Electric utility non-cogen","PV","SUN"
"205 Sturbridge A",59821,"MA","Electric utility non-cogen","PV","SUN"
"20701 Plummer PV, LLC",65794,"CA","Electric utility non-cogen","PV","SUN"
"2081 Terzian Solar Project",58918,"CA","Electric utility non-cogen","PV","SUN"
"2097 Helton Solar Project",58920,"CA","Electric utility non-cogen","PV","SUN"
"2127 Harris Solar Project",58919,"CA","Electric utility non-cogen","PV","SUN"
"231 Dixon 74 Solar I, LLC",61195,"NC","Electric utility non-cogen","PV","SUN"
"232 Long Branch 29 Solar I, LLC",63296,"NC","Electric utility non-cogen","PV","SUN"
"233 Randolph 74 Solar I, LLC",65819,"NC","Electric utility non-cogen","PV","SUN"
"24 Applegate Solar LLC",59365,"NJ","Electric utility non-cogen","PV","SUN"
"25 Ashdown Road Solar, LLC",62998,"NY","Electric utility non-cogen","PV","SUN"
"25 Mile Creek",65511,"OK","Electric utility non-cogen","WT","WND"
"2555 E Olympic Bl",57871,"CA","Commercial non-cogen","PV","SUN"
"265 Pleasant Solar NG, LLC",59485,"MA","Electric utility non-cogen","PV","SUN"
"2662 Freeport Solar 1 CSG",64058,"IL","Electric utility non-cogen","PV","SUN"
"276 Federal Rd(CSG)",64875,"MA","Electric utility non-cogen","PV","SUN"
"28 Livermore Hill Road Solar",64014,"MA","Electric utility non-cogen","PV","SUN"
"299 Farm to Market Rd Hybrid(CSG)",65057,"MA","Electric utility non-cogen","PV","SUN"
"2W Permian Solar Project Hybrid",63255,"TX","Electric utility non-cogen","BA,PV","MWH,SUN"
"301 Chestnut Solar NG",61518,"MA","Electric utility non-cogen","PV","SUN"
"3100 Valleyview Drive",68391,"OH","Electric utility non-cogen","PV","SUN"
"3104 Batavia Solar",66036,"NY","Electric utility non-cogen","PV","SUN"
"315 Vinson Road",63979,"NC","Electric utility non-cogen","PV","SUN"
"3232 Batavia Solar",66037,"NY","Electric utility non-cogen","PV","SUN"
"350 Clark Solar, NG, LLC",61224,"NJ","Electric utility non-cogen","PV","SUN"
"3Colton",66320,"MA","Electric utility non-cogen","PV","SUN"
"4 Applegate Solar LLC",59370,"NJ","Electric utility non-cogen","PV","SUN"
"401 South",67241,"MA","Electric utility non-cogen","PV","SUN"
"433 Purchase Solar NG, LLC",61237,"MA","Electric utility non-cogen","PV","SUN"
"435A Bergen Avenue",63366,"NJ","Commercial non-cogen","PV","SUN"
